asxCode,companyName,industry
BHP,BHP GROUP LIMITED,Materials
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks
NEM,NEWMONT CORPORATION,Materials
WBC,WESTPAC BANKING CORPORATION,Banks
NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks
WES,WESFARMERS LIMITED,Consumer Discretionary Distribution & Retail
MQG,MACQUARIE GROUP LIMITED,Financial Services
WDS,WOODSIDE ENERGY GROUP LTD,Energy
GMG,GOODMAN GROUP,Equity Real Estate Investment Trusts (REITs)
RIO,RIO TINTO LIMITED,Materials
FMG,FORTESCUE LTD,Materials
CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
TLS,TELSTRA GROUP LIMITED,Telecommunication Services
WOW,WOOLWORTHS GROUP LIMITED,Consumer Staples Distribution & Retail
TCL,TRANSURBAN GROUP,Transportation
RMD,RESMED INC,Health Care Equipment & Services
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services
QBE,QBE INSURANCE GROUP LIMITED,Insurance
SIG,SIGMA HEALTHCARE LIMITED,Health Care Equipment & Services
COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail
AMC,AMCOR PLC,Materials
NST,NORTHERN STAR RESOURCES LTD,Materials
BXB,BRAMBLES LIMITED,Commercial & Professional Services
STO,SANTOS LIMITED,Energy
NWS,NEWS CORPORATION..,Media & Entertainment
CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services
EVN,EVOLUTION MINING LIMITED,Materials
JHX,JAMES HARDIE INDUSTRIES PLC,Materials
REA,REA GROUP LTD,Media & Entertainment
SUN,SUNCORP GROUP LIMITED,Insurance
SCG,SCENTRE GROUP,Equity Real Estate Investment Trusts (REITs)
S32,SOUTH32 LIMITED,Materials
IAG,INSURANCE AUSTRALIA GROUP LIMITED,Insurance
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services
ORG,ORIGIN ENERGY LIMITED,Utilities
SGH,SGH LIMITED,Capital Goods
SOL,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,Financial Services
PME,PRO MEDICUS LIMITED,Health Care Equipment & Services
AAI,ALCOA CORPORATION,Materials
QAN,QANTAS AIRWAYS LIMITED,Transportation
LYC,LYNAS RARE EARTHS LIMITED,Materials
MPL,MEDIBANK PRIVATE LIMITED,Insurance
BSL,BLUESCOPE STEEL LIMITED,Materials
APA,APA GROUP,Utilities
PLS,PLS GROUP LIMITED,Materials
MEZ,MERIDIAN ENERGY LIMITED,Utilities
IFT,INFRATIL LIMITED.,Capital Goods
CSC,CAPSTONE COPPER CORP.,Materials
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation
TLC,THE LOTTERY CORPORATION LIMITED,Consumer Services
VCX,VICINITY CENTRES,Equity Real Estate Investment Trusts (REITs)
DPM,DPM METALS INC.,Materials
WTC,WISETECH GLOBAL LIMITED,Software & Services
XRO,XERO LIMITED,Software & Services
ALQ,ALS LIMITED,Commercial & Professional Services
CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs)
ORI,ORICA LIMITED,Materials
SHL,SONIC HEALTHCARE LIMITED,Health Care Equipment & Services
ASX,ASX LIMITED,Financial Services
MIN,MINERAL RESOURCES LIMITED,Materials
SGP,STOCKLAND,Equity Real Estate Investment Trusts (REITs)
NXT,NEXTDC LIMITED,Software & Services
RHC,RAMSAY HEALTH CARE LIMITED,Health Care Equipment & Services
REH,REECE LIMITED,Capital Goods
CAR,CAR GROUP LIMITED,Media & Entertainment
GPT,GPT GROUP,Equity Real Estate Investment Trusts (REITs)
TNE,TECHNOLOGY ONE LIMITED,Software & Services
ALD,AMPOL LIMITED,Energy
LNW,LIGHT & WONDER INC.,Consumer Services
NXG,NEXGEN ENERGY (CANADA) LTD,Energy
SFR,SANDFIRE RESOURCES LIMITED,Materials
JBH,JB HI-FI LIMITED,Consumer Discretionary Distribution & Retail
CEN,CONTACT ENERGY LIMITED,Utilities
MCY,MERCURY NZ LIMITED,Utilities
COH,COCHLEAR LIMITED,Health Care Equipment & Services
YAL,YANCOAL AUSTRALIA LIMITED,Energy
ALX,ATLAS ARTERIA,Transportation
CGF,CHALLENGER LIMITED,Financial Services
CDA,CODAN LIMITED,Technology Hardware & Equipment
GMD,GENESIS MINERALS LIMITED,Materials
AZJ,AURIZON HOLDINGS LIMITED,Transportation
GGP,GREATLAND RESOURCES LIMITED,Materials
TPG,TPG TELECOM LIMITED.,Telecommunication Services
MGR,MIRVAC GROUP,Equity Real Estate Investment Trusts (REITs)
HUB,HUB24 LIMITED,Financial Services
DNL,DYNO NOBEL LIMITED.,Materials
PRU,PERSEUS MINING LIMITED,Materials
BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks
APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail
EDV,ENDEAVOUR GROUP LIMITED,Consumer Staples Distribution & Retail
DXS,DEXUS,Equity Real Estate Investment Trusts (REITs)
CMM,CAPRICORN METALS LTD,Materials
360,LIFE360 INC.,Software & Services
HVN,HARVEY NORMAN HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail
WHC,WHITEHAVEN COAL LIMITED,Energy
SDF,STEADFAST GROUP LIMITED,Insurance
RMS,RAMELIUS RESOURCES LIMITED,Materials
AGL,AGL ENERGY LIMITED.,Utilities
AII,ALMONTY INDUSTRIES INC.,Materials
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services
NWL,NETWEALTH GROUP LIMITED,Financial Services
IGO,IGO LIMITED,Materials
A2M,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco"
AMP,AMP LIMITED,Financial Services
VAU,VAULT MINERALS LIMITED,Materials
DOW,DOWNER EDI LIMITED,Commercial & Professional Services
WOR,WORLEY LIMITED,Capital Goods
SEK,SEEK LIMITED,Media & Entertainment
SGM,SIMS LIMITED,Materials
VNT,VENTIA SERVICES GROUP LIMITED,Capital Goods
TLX,TELIX PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
RRL,REGIS RESOURCES LIMITED,Materials
BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel
ANN,ANSELL LIMITED,Health Care Equipment & Services
WGX,WESTGOLD RESOURCES LIMITED.,Materials
NHC,NEW HOPE CORPORATION LIMITED,Energy
VEA,VIVA ENERGY GROUP LIMITED,Energy
XYZ,"BLOCK, INC.",Financial Services
BOQ,BANK OF QUEENSLAND LIMITED.,Banks
ATM,PT ANTAM (PERSERO) TBK,Materials
PAF,PAN AFRICAN RESOURCES PLC,Class Pend
MP1,MEGAPORT LIMITED,Software & Services
PDN,PALADIN ENERGY LTD,Energy
GQG,GQG PARTNERS INC.,Financial Services
TWE,TREASURY WINE ESTATES LIMITED,"Food, Beverage & Tobacco"
LTR,LIONTOWN LIMITED,Materials
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,Financial Services
BFL,BSP FINANCIAL GROUP LIMITED,Banks
EBO,EBOS GROUP LIMITED,Health Care Equipment & Services
NHF,NIB HOLDINGS LIMITED,Insurance
AUB,AUB GROUP LIMITED,Insurance
EMR,EMERALD RESOURCES NL,Materials
CNU,CHORUS LIMITED,Telecommunication Services
FBU,FLETCHER BUILDING LIMITED,Capital Goods
NIC,NICKEL INDUSTRIES LIMITED,Materials
MTS,METCASH LIMITED,Consumer Staples Distribution & Retail
WAF,WEST AFRICAN RESOURCES LIMITED,Materials
NWH,NRW HOLDINGS LIMITED,Capital Goods
PDI,PREDICTIVE DISCOVERY LIMITED,Materials
ZIP,ZIP CO LIMITED..,Financial Services
SPK,SPARK NEW ZEALAND LIMITED,Telecommunication Services
BWP,BWP GROUP,Equity Real Estate Investment Trusts (REITs)
SUL,SUPER RETAIL GROUP LIMITED,Consumer Discretionary Distribution & Retail
MND,MONADELPHOUS GROUP LIMITED,Capital Goods
GNE,GENESIS ENERGY LIMITED,Utilities
MFG,MAGELLAN FINANCIAL GROUP LIMITED,Financial Services
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation
L1G,L1 GROUP LIMITED,Financial Services
RGN,REGION GROUP,Equity Real Estate Investment Trusts (REITs)
CLW,CHARTER HALL LONG WALE REIT,Equity Real Estate Investment Trusts (REITs)
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,Capital Goods
