max_depth,min_samples_split,min_samples_leaf,max_features,mean_ic
6,100,20,0.5,0.012148816460218344
6,50,20,0.5,0.005962520524072276
5,100,50,0.5,-0.0015798451149374006
5,100,50,0.5,-0.0015798451149374006
6,100,20,,-0.004088552340650172
6,50,50,,-0.007886348347051191
6,50,10,,-0.008628725630626456
6,100,50,0.8,-0.009336241752860061
2,50,20,0.8,-0.029329611080630855
2,20,50,,-0.029624820043718553
2,50,10,0.5,-0.03323513440061906
2,20,10,0.5,-0.03323513440061906
4,20,10,0.5,-0.03457247970020471
4,20,20,0.5,-0.035356986183249894
5,20,50,0.8,-0.04013589770560492
3,20,20,,-0.046647977020384535
4,100,10,0.8,-0.051669822227609484
4,100,20,,-0.05695555225985103
3,20,20,0.5,-0.07937042863577878
3,100,10,0.5,-0.07949017471862221
