max_depth,min_samples_split,min_samples_leaf,mean_ic
3,50,50,-0.0003287095405170697
3,20,50,-0.0003287095405170697
3,50,10,-0.003627778954854401
3,50,10,-0.003627778954854401
3,20,10,-0.003634040623109148
3,20,20,-0.003695670493901935
2,50,10,-0.0038073422808877068
2,20,10,-0.0038073422808877068
2,20,20,-0.0038073422808877068
2,50,10,-0.0038073422808877068
2,100,10,-0.0038073422808877068
2,50,50,-0.0042214737552504844
2,50,50,-0.0042214737552504844
3,100,20,-0.0044174922722209665
3,100,20,-0.0044174922722209665
4,50,20,-0.010953360348829556
4,100,20,-0.012357576787542441
4,100,50,-0.01347400164658732
4,20,10,-0.013809607403428181
4,50,10,-0.015792124962549118
