max_depth,min_samples_split,min_samples_leaf,max_features,mean_ic
5,100,10,0.5,0.04134684054855875
5,20,20,0.5,0.03873763714585089
4,20,20,0.5,0.027694618628765478
3,50,10,,0.024444681703299675
3,20,10,0.8,0.024240522347661074
3,100,50,0.8,0.023794683833157082
4,20,10,,0.023360740500637245
6,50,10,0.5,0.023143900028179242
6,50,10,,0.02137562750215004
2,20,50,0.5,0.021009644444377105
5,50,20,,0.019861937738964275
6,50,50,,0.01849618338161659
2,20,50,,0.017367774117704477
2,100,50,0.8,0.01722579629210647
2,100,20,0.8,0.013604170319606106
2,100,20,,0.012963520536155397
5,50,20,0.8,0.010280783317035457
2,20,10,,0.009551225875434055
6,50,10,0.8,0.006524860118681171
6,100,10,0.8,0.0009262729777686638
