learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,mean_ic
0.1,31,-1,100,50,0.008169493536409228
0.01,31,5,300,100,0.006812189092160244
0.02,63,9,100,20,0.006483470288126292
0.02,31,9,500,100,0.006179603622263543
0.1,127,7,200,20,0.005883961906498554
0.04,63,9,100,100,0.005705563995099716
0.01,31,9,200,20,0.0033192606091493894
0.02,127,5,100,100,0.0030421875129155876
0.01,31,5,200,20,0.0025109774171591984
0.1,127,5,200,100,0.001087000241703757
0.08,63,9,200,20,0.0009517511250555963
0.1,63,7,100,10,0.000120611229827309
0.08,63,-1,300,20,1.0260512287053418e-06
0.08,63,-1,200,50,-0.0003912430871700033
0.04,63,7,300,10,-0.0015582102913524719
0.02,63,5,200,10,-0.006167658673369642
0.08,63,9,200,50,-0.006793202590070098
0.04,31,5,500,10,-0.007676826645121721
0.04,31,7,300,20,-0.009567010004150677
0.04,31,7,500,10,-0.010905851944468744
