learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,mean_ic
0.02,127,5,100,100,0.004034885926377563
0.04,31,7,500,10,0.0031349439258034593
0.04,31,5,500,10,-0.003028753267614497
0.1,127,7,200,20,-0.003080977758774401
0.01,31,5,200,20,-0.0046950421254243
0.08,63,-1,300,20,-0.007545529528890431
0.01,31,9,200,20,-0.008527211260117237
0.1,127,5,200,100,-0.008930971985917685
0.01,31,5,300,100,-0.009416441490510056
0.1,31,-1,100,50,-0.009535445416428498
0.04,31,7,300,20,-0.009739731362729131
0.04,63,9,100,100,-0.00986500343944307
0.02,31,9,500,100,-0.01016692679084993
0.08,63,-1,200,50,-0.012444416651937096
0.02,63,5,200,10,-0.01249455314467484
0.08,63,9,200,20,-0.012819333987749754
0.04,63,7,300,10,-0.014692426828792784
0.1,63,7,100,10,-0.015489821254394453
0.08,63,9,200,50,-0.017324148739139757
0.02,63,9,100,20,-0.026058285694717787
