learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,mean_ic
0.02,63,9,100,20,0.03229511794043168
0.01,31,5,300,100,0.023794620274390506
0.04,63,9,100,100,0.023400176184227014
0.02,63,5,200,10,0.023224767509781048
0.01,31,9,200,20,0.02249019985409155
0.01,31,5,200,20,0.018702127770346893
0.02,127,5,100,100,0.01671423908415257
0.1,127,5,200,100,0.01123112034033993
0.04,31,5,500,10,0.01078699769540211
0.08,63,-1,200,50,0.009081047851996723
0.04,63,7,300,10,0.005781604585429994
0.08,63,9,200,50,0.004993080889851241
0.1,63,7,100,10,0.0015209385370875761
0.04,31,7,500,10,-0.0005031593842214655
0.02,31,9,500,100,-0.0008546969566308748
0.08,63,9,200,20,-0.0014219736969930603
0.1,127,7,200,20,-0.0016043359953208675
0.04,31,7,300,20,-0.0028685224912570898
0.1,31,-1,100,50,-0.004199975967681173
0.08,63,-1,300,20,-0.0058710789869857805
