learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,mean_ic
0.08,63,9,200,20,0.034324142297622956
0.02,63,5,200,10,0.034073160617683826
0.04,63,9,100,100,0.031192546275656857
0.01,31,5,300,100,0.030913780151173506
0.02,127,5,100,100,0.030268867127349514
0.01,31,5,200,20,0.030055107545773892
0.01,31,9,200,20,0.028087872531112185
0.02,63,9,100,20,0.02758726278270353
0.04,31,5,500,10,0.027483753225340905
0.04,31,7,300,20,0.025848469844735933
0.02,31,9,500,100,0.02582523660317316
0.04,31,7,500,10,0.024035528675988772
0.08,63,9,200,50,0.022103066459487834
0.1,127,5,200,100,0.018554990841959
0.1,31,-1,100,50,0.018188607249070492
0.1,63,7,100,10,0.017446431929436835
0.04,63,7,300,10,0.01655883190236073
0.08,63,-1,200,50,0.014864768644213548
0.08,63,-1,300,20,0.014093883649228296
0.1,127,7,200,20,0.0039016480329866596
