learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,mean_ic
0.01,15,7,100,100,0.05582344660791143
0.01,63,3,250,100,0.05399269975710641
0.04,31,7,50,100,0.05394282053560392
0.02,15,3,150,50,0.053580432104070534
0.08,127,3,100,100,0.05282450868482631
0.01,15,3,100,100,0.052754518449399414
0.01,15,3,100,100,0.052754518449399414
0.01,63,7,250,150,0.05209594677426026
0.02,63,3,50,200,0.05180808243894649
0.01,15,7,150,100,0.05155132585644901
0.02,127,7,150,100,0.051249735476158687
0.02,15,9,150,200,0.05095625639144283
0.02,15,11,50,200,0.050356093040230684
0.12,31,3,50,50,0.05021247609618777
0.01,15,5,150,50,0.04940992555417228
0.02,31,7,200,150,0.04820423566307665
0.01,63,9,150,50,0.04714587475396689
0.04,31,7,150,100,0.046337654005059965
0.02,127,11,150,50,0.04582166310317717
0.01,63,11,150,100,0.04459714466419692
0.08,31,9,50,150,0.044019939732614255
0.08,15,11,100,100,0.043244249284093005
0.02,63,11,200,200,0.04181841064017504
0.02,31,11,250,200,0.041549893239385946
0.01,31,11,50,50,0.04148429951251542
0.01,127,11,50,200,0.040516944443837105
0.12,31,11,50,150,0.03872205825400999
0.12,63,7,50,150,0.03856479312456658
0.12,15,11,100,200,0.03790860416367564
0.08,127,5,150,100,0.037141670301056195
0.04,15,11,500,100,0.036878136897336294
0.12,63,11,50,50,0.03618481325657421
0.12,31,5,150,100,0.0361105168528801
0.04,31,5,250,200,0.03556581341471813
0.12,15,11,150,200,0.033888000504533736
0.02,63,5,500,200,0.03306909549813307
0.08,15,9,200,200,0.030782017019450426
0.08,31,7,250,200,0.029631152425971204
0.12,31,5,200,200,0.022956859610862735
0.12,31,7,500,200,0.021352764044932165
