learning_rate,max_depth,n_estimators,min_child_weight,mean_ic
0.01,3,500,10,0.0315368946648278
0.02,4,200,10,0.030795861485421582
0.04,4,200,50,0.030146140300210896
0.02,7,100,20,0.029246746545010114
0.04,5,300,10,0.02844915327297435
0.01,7,300,50,0.027954879065309805
0.04,5,200,50,0.027911699931026008
0.1,4,100,10,0.027165477397745788
0.2,7,100,100,0.02464060198882793
0.2,7,500,20,0.022730861680573877
0.04,6,300,20,0.020589990328392174
0.02,6,500,50,0.020443440320709876
0.01,3,100,20,0.01849608466475084
0.2,4,300,10,0.017405507807741038
0.2,3,100,50,0.016320147203806288
0.3,4,500,50,0.015702743728194437
0.3,4,100,100,0.014323783862514082
0.2,3,200,20,0.014289155131861572
0.2,6,100,100,0.008790579661425971
0.08,7,300,10,0.00860011491205572
