learning_rate,max_depth,n_estimators,min_child_weight,mean_ic
0.2,3,100,50,0.01260039098808642
0.2,7,500,20,0.004575843697166699
0.3,4,100,100,0.002804990026303073
0.2,3,200,20,0.0003294730763483203
0.1,4,100,10,-0.00021252395561249324
0.04,5,300,10,-0.0005501196434417834
0.02,6,500,50,-0.000664413504367988
0.08,7,300,10,-0.003907580547305852
0.04,6,300,20,-0.005206571852437991
0.01,3,500,10,-0.006015427464216942
0.04,5,200,50,-0.00605140045751962
0.02,4,200,10,-0.006176933568435463
0.04,4,200,50,-0.00762519505504373
0.2,6,100,100,-0.00787221043520583
0.01,3,100,20,-0.008056811842686057
0.2,4,300,10,-0.009835597680359286
0.3,4,500,50,-0.01011632612928305
0.01,7,300,50,-0.015747876057464874
0.2,7,100,100,-0.01591836100126817
0.02,7,100,20,-0.02052892530104406
