learning_rate,max_depth,n_estimators,min_child_weight,mean_ic
0.01,3,500,10,0.024701574928755562
0.02,4,200,10,0.018789843787661763
0.01,3,100,20,0.018744032539039238
0.2,3,100,50,0.015628295540264025
0.2,6,100,100,0.013682795754251681
0.02,6,500,50,0.013081313229591149
0.02,7,100,20,0.012563809484587617
0.04,5,200,50,0.011950657848854762
0.2,3,200,20,0.010737554665657807
0.04,4,200,50,0.010489632755627695
0.01,7,300,50,0.010041300643805273
0.04,6,300,20,0.00747802131125271
0.2,7,500,20,0.005242491886740304
0.3,4,100,100,0.004536993190396638
0.1,4,100,10,0.003755753678795354
0.2,4,300,10,0.00327811954331798
0.2,7,100,100,0.0013508820658372322
0.04,5,300,10,0.0006703967470179797
0.08,7,300,10,-0.0038060353065204303
0.3,4,500,50,-0.01134639015473411
